full_name,member
ralph lee abraham,ralph abraham
alma s. adams,alma adams
robert b. aderholt,robert aderholt
pete aguilar,pete aguilar
lamar alexander,lamar alexander
lucille roybal-allard,lucille roybal-allard
rick w. allen,r. allen
colin z. allred,colin allred
justin amash,justin amash
mark e. amodei,mark amodei
kelly armstrong,kelly armstrong
jodey c. arrington,jodey arrington
cynthia axne,cindy axne
brian babin,brian babin
don bacon,donald bacon
james r. baird,james baird
mario diaz-balart,mario diaz-balart
troy balderson,troy balderson
tammy baldwin,tammy baldwin
jim banks,james banks
andy barr,garland barr
nanette diaz barragan,nanette barragan
john barrasso,john barrasso
karen bass,karen bass
joyce beatty,joyce beatty
michael f. bennet,michael bennet
ami bera,ami bera
jack bergman,jack bergman
jaime herrera beutler,jaime herrera beutler
donald s. beyer,donald beyer
andy biggs,andrew biggs
gus m. bilirakis,gus bilirakis
rob bishop,rob bishop
sanford d. bishop,sanford bishop
dan bishop,james bishop
marsha blackburn,marsha blackburn
earl blumenauer,earl blumenauer
richard blumenthal,richard blumenthal
roy blunt,roy blunt
suzanne bonamici,suzanne bonamici
cory a. booker,cory booker
john boozman,john boozman
mike bost,michael bost
brendan f. boyle,brendan boyle
kevin brady,kevin brady
mike braun,mike braun
anthony brindisi,anthony brindisi
mo brooks,morris brooks
susan w. brooks,susan brooks
sherrod brown,sherrod brown
anthony g. brown,anthony brown
julia brownley,julia brownley
vern buchanan,vern buchanan
ken buck,ken buck
larry bucshon,larry bucshon
ted budd,theodore budd
tim burchett,tim burchett
michael c. burgess,michael burgess
richard burr,richard burr
cheri bustos,cheri bustos
g. k. butterfield,george butterfield
bradley byrne,bradley byrne
ken calvert,ken calvert
maria cantwell,maria cantwell
shelley moore capito,shelley capito
salud o. carbajal,salud carbajal
tony cardenas,tony cardenas
benjamin l. cardin,benjamin cardin
thomas r. carper,thomas carper
andre carson,andre carson
john r. carter,john carter
"earl l. ""buddy"" carter",earl carter
matt cartwright,matthew cartwright
ed case,edward case
robert p. casey,robert casey
bill cassidy,william cassidy
sean casten,sean casten
kathy castor,kathy castor
joaquin castro,joaquin castro
steve chabot,steven chabot
liz cheney,liz cheney
judy chu,judy chu
david n. cicilline,david cicilline
gilbert ray cisneros,gilbert cisneros
katherine m. clark,katherine clark
yvette d. clarke,yvette clarke
wm. lacy clay,william clay
emanuel cleaver,emanuel cleaver
ben cline,benjamin cline
michael cloud,michael cloud
james e. clyburn,james clyburn
steve cohen,stephen cohen
tom cole,tom cole
bonnie watson coleman,bonnie watson coleman
susan m. collins,susan collins
doug collins,douglas collins
jenniffer gonzalez-colon,jenniffer gonzalez-colon
james comer,james comer
k. michael conaway,k. conaway
gerald e. connolly,gerald connolly
paul cook,paul cook
christopher a. coons,christopher coons
jim cooper,jim cooper
john cornyn,john cornyn
j. luis correa,jose correa
alexandria ocasio-cortez,alexandria ocasio-cortez
jim costa,jim costa
tom cotton,tom cotton
joe courtney,joseph courtney
tj cox,t. j. cox
angie craig,angela craig
kevin cramer,kevin cramer
mike crapo,michael crapo
"eric a. ""rick"" crawford",eric crawford
dan crenshaw,dan crenshaw
charlie crist,charles crist
jason crow,jason crow
ted cruz,rafael cruz
henry cuellar,henry cuellar
joe cunningham,joe cunningham
john r. curtis,john curtis
steve daines,steve daines
sharice davids,sharice davids
warren davidson,warren davidson
susan a. davis,susan davis
danny k. davis,danny davis
rodney davis,rodney davis
madeleine dean,madeleine dean
peter a. defazio,peter defazio
diana degette,diana degette
rosa l. delauro,rosa delauro
suzan k. delbene,suzan delbene
antonio delgado,antonio delgado
val butler demings,val demings
mark desaulnier,mark desaulnier
scott desjarlais,scott desjarlais
theodore e. deutch,theodore deutch
debbie dingell,debbie dingell
lloyd doggett,lloyd doggett
michael f. doyle,michael doyle
jefferson van drew,jefferson van drew
tammy duckworth,tammy duckworth
jeff duncan,jeffrey duncan
neal p. dunn,neal dunn
richard j. durbin,richard durbin
tom emmer,tom emmer
eliot l. engel,eliot engel
michael b. enzi,michael enzi
joni ernst,joni ernst
veronica escobar,veronica escobar
anna g. eshoo,anna eshoo
adriano espaillat,adriano espaillat
ron estes,ron estes
dwight evans,dwight evans
dianne feinstein,dianne feinstein
a. drew ferguson iv,drew ferguson
abby finkenauer,abby finkenauer
deb fischer,deb fischer
brian k. fitzpatrick,brian fitzpatrick
"charles j. ""chuck"" fleischmann",charles fleischmann
lizzie fletcher,elizabeth fletcher
bill flores,william flores
jeff fortenberry,jeff fortenberry
bill foster,bill foster
virginia foxx,virginia foxx
lois frankel,lois frankel
marcia l. fudge,marcia fudge
russ fulcher,russell fulcher
tulsi gabbard,tulsi gabbard
matt gaetz,matt gaetz
mike gallagher,mike gallagher
ruben gallego,ruben gallego
john garamendi,john garamendi
"jesus g. ""chuy"" garcia",jesus garcia
sylvia r. garcia,sylvia garcia
cory gardner,cory gardner
greg gianforte,greg gianforte
bob gibbs,bob gibbs
kirsten e. gillibrand,kirsten gillibrand
louie gohmert,louie gohmert
jared f. golden,jared golden
jimmy gomez,jimmy gomez
vicente gonzalez,vicente gonzalez
anthony gonzalez,anthony gonzalez
lance gooden,lance gooden
paul a. gosar,paul gosar
josh gottheimer,joshua gottheimer
lindsey graham,lindsey graham
kay granger,kay granger
chuck grassley,charles grassley
sam graves,samuel graves
tom graves,john graves
garret graves,garret graves
al green,al green
mark e. green,mark green
h. morgan griffith,h. griffith
raul m. grijalva,raul grijalva
glenn grothman,glenn grothman
michael guest,michael guest
brett guthrie,steven guthrie
debra a. haaland,debra haaland
jim hagedorn,jim hagedorn
tom o'halleran,tom o'halleran
josh harder,josh harder
kamala d. harris,kamala harris
andy harris,andrew harris
vicky hartzler,vicky hartzler
margaret wood hassan,margaret hassan
alcee l. hastings,alcee hastings
josh hawley,josh hawley
jahana hayes,jahana hayes
denny heck,denny heck
martin heinrich,martin heinrich
kevin hern,kevin hern
jody b. hice,jody hice
brian higgins,brian higgins
clay higgins,clay higgins
j. french hill,french hill
james a. himes,james himes
mazie k. hirono,mazie hirono
john hoeven,john hoeven
george holding,george holding
chris van hollen,christopher van hollen
trey hollingsworth,trey hollingsworth
kendra s. horn,kendra horn
steven horsford,steven horsford
chrissy houlahan,christina houlahan
steny h. hoyer,steny hoyer
richard hudson,richard hudson
jared huffman,jared huffman
bill huizenga,bill huizenga
will hurd,will hurd
james m. inhofe,james inhofe
pramila jayapal,pramila jayapal
hakeem s. jeffries,hakeem jeffries
eddie bernice johnson,eddie johnson
"henry c. ""hank"" johnson",henry johnson
ron johnson,ron johnson
bill johnson,bill johnson
mike johnson,mike johnson
dusty johnson,dustin johnson
doug jones,doug jones
jim jordan,james jordan
david p. joyce,david joyce
john joyce,john joyce
tim kaine,timothy kaine
marcy kaptur,marcy kaptur
john katko,john katko
william r. keating,william keating
fred keller,frederick keller
mike kelly,george kelly
robin l. kelly,robin kelly
trent kelly,j. kelly
joseph p. kennedy,joseph kennedy
john kennedy,john kennedy
ro khanna,ro khanna
daniel t. kildee,daniel kildee
derek kilmer,derek kilmer
andy kim,andy kim
ron kind,ronald kind
angus s. king,angus king
steve king,steve king
peter t. king,peter king
adam kinzinger,adam kinzinger
ann kirkpatrick,ann kirkpatrick
amy klobuchar,amy klobuchar
raja krishnamoorthi,s. krishnamoorthi
ann m. kuster,ann kuster
david kustoff,david kustoff
darin lahood,darin lahood
doug lamalfa,doug lamalfa
conor lamb,conor lamb
doug lamborn,douglas lamborn
james r. langevin,james langevin
james lankford,james lankford
rick larsen,richard larsen
john b. larson,john larson
robert e. latta,robert latta
brenda l. lawrence,brenda lawrence
al lawson,alfred lawson
patrick j. leahy,patrick leahy
sheila jackson lee,sheila jackson lee
barbara lee,barbara lee
mike lee,michael lee
susie lee,suzanne lee
debbie lesko,debbie lesko
andy levin,andy levin
mike levin,mike levin
john lewis,john lewis
ted lieu,ted lieu
daniel lipinski,daniel lipinski
david loebsack,david loebsack
kelly loeffler,kelly loeffler
zoe lofgren,zoe lofgren
billy long,billy long
barry loudermilk,barry loudermilk
alan s. lowenthal,alan lowenthal
nita m. lowey,nita lowey
frank d. lucas,frank lucas
